num_agents,skill_type,network,cooperation_proportion
300,eeew_simp,1,0.17802914501171915
300,eeew_simp,1,0.13641349054017
300,eeew_simp,1,0.17445132245357345
300,eeew_simp,1,0.04333050127442651
300,eeew_simp,1,0.5368171021377672
300,eeew_simp,1,0.16829268292682928
300,eeew_simp,1,0.23525377229080932
300,eeew_simp,1,0.01160541586073501
300,eeew_simp,1,0.21268163804491413
300,eeew_simp,1,0.1943231441048035
300,eeew_simp,1,0
300,eeew_simp,1,0.22357723577235772
300,eeew_simp,1,0.8
300,eeew_simp,1,0
300,eeew_simp,1,0
300,eeew_simp,1,0
300,eeew_simp,1,0
300,eeew_simp,1,0
300,gigawolf,1,1
300,gigawolf,1,0.3413509060955519
300,gigawolf,1,0.263332734781828
300,gigawolf,1,0.4035310408492961
300,gigawolf,1,0.399834665197024
300,gigawolf,1,0.32779869443917764
300,gigawolf,1,0.3732138005976637
300,gigawolf,1,0.3550821774099545
300,gigawolf,1,0.344065431177177
300,gigawolf,1,0.404094986031466
300,gigawolf,1,0.42811449192159434
300,gigawolf,1,0.3623155607857337
300,gigawolf,1,0.36022865236746254
300,gigawolf,1,0.3685273913294464
300,gigawolf,1,0.4212938711367208
300,gigawolf,1,0.36527669247709027
300,gigawolf,1,0.3692983785422034
300,gigawolf,1,0.3970823846867358
300,gigawolf,1,0.23765828592402274
300,gigawolf,1,0.23285216525634644
300,gigawolf,1,0.43086150490730646
300,gigawolf,1,0.16008215537030324
300,gigawolf,1,0.2561871090562959
300,gigawolf,1,0.26742770167427704
300,gigawolf,1,0.39227086183310533
300,gigawolf,1,0.3245721271393643
300,gigawolf,1,0.3247445579742337
300,gigawolf,1,0.4193046185781007
300,gigawolf,1,0.43955362678239307
300,gigawolf,1,0.19716850828729282
300,random,1,1
300,random,1,0.2241669471558398
300,random,1,0.1835798539599326
300,random,1,0.2294216153548886
300,random,1,0.22059191747208173
300,random,1,0.21941608454236075
300,random,1,0.28550190479140214
300,random,1,0.20485630859074844
300,random,1,0.2915289615585319
300,random,1,0.1908325900647613
300,random,1,0.16670394060025942
300,random,1,0.3289317025652127
300,random,1,0.24050804863139305
300,random,1,0.21996967036475376
300,random,1,0.36332145684877276
300,random,1,0.314423433444568
300,random,1,0.33249444855662474
300,random,1,0.1448695652173913
300,random,1,0.06652763295099061
300,random,1,0.0883916083916084
300,random,1,0.40703125
300,random,1,0.4295600593178448
300,random,1,0.18702513150204558
300,random,1,0
300,random,1,0.09893048128342247
300,random,1,0.9665211062590975
300,random,1,0.5669172932330827
300,random,1,0.5639097744360902
300,random,1,0.3241042345276873
300,random,1,0
200,S++,1,0
200,S++,1,0.6035767511177347
200,S++,1,0.3311601150527325
200,S++,1,0.3693987699259445
200,S++,1,0.4547482199536759
200,S++,1,0.4846237452848283
200,S++,1,0.365180102915952
200,S++,1,0.3979760077321053
200,S++,1,0.346850580156287
200,S++,1,0.36158156118680757
200,S++,1,0.3646504538211044
200,S++,1,0.4110345871490199
200,S++,1,0.3784573097405944
200,S++,1,0.5122634221707223
200,S++,1,0.3456292622442653
200,S++,1,0.3752191060473269
200,S++,1,0.37748579545454547
200,S++,1,0.44423416603583143
200,S++,1,0.332220367278798
200,S++,1,0.4136856167433576
200,S++,1,0.3800452050371327
200,S++,1,0.3788091068301226
200,S++,1,0.3365104065356934
200,S++,1,0.4399008674101611
200,S++,1,0.3797043010752688
200,S++,1,0.4356412086604806
200,S++,1,0.30253577705247303
200,S++,1,0.40878378378378377
200,S++,1,0.47468731387730795
200,S++,1,0.4304821150855365
200,S,1,1
200,S,1,0.07240487624676764
200,S,1,0.18660907127429804
200,S,1,0.27220902612826603
200,S,1,0.3636614281775572
200,S,1,0.2615542303391726
200,S,1,0.26738805970149254
200,S,1,0.23792648182892084
200,S,1,0.19779389543668782
200,S,1,0.2422581767571329
200,S,1,0.14916237113402062
200,S,1,0.2545454545454545
200,S,1,0.2053207116043741
200,S,1,0.12366826822644662
200,S,1,0.08987380732533087
200,S,1,0
200,S,1,0.08934169278996865
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,0
200,S,1,1
200,S,1,1
200,br2,1,0
200,br2,1,0.09925650557620817
200,br2,1,0.23774242754412725
200,br2,1,0.24408602150537634
200,br2,1,0.24076015727391875
200,br2,1,0.09143029571514785
200,br2,1,0.058107725686256016
200,br2,1,0.28286622363478764
200,br2,1,0.19137491742946117
200,br2,1,0.23938589840788477
200,br2,1,0.1476890756302521
200,br2,1,0.22155059132720106
200,br2,1,0.23702448791005698
200,br2,1,0.2686623012160898
200,br2,1,0.2407314629258517
200,br2,1,0.0215311004784689
200,br2,1,0.19052271617000488
200,br2,1,0.1857813547954393
200,br2,1,0.2654377880184332
200,br2,1,0.4305993690851735
200,br2,1,0
200,br2,1,0.6011904761904762
200,br2,1,0.06320541760722348
200,br2,1,0
200,br2,1,0
200,br2,1,0
200,br2,1,1
200,br2,1,0
200,br2,1,1
200,br2,1,0
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,manipulator-gf,1,1
200,eeew_simp,1,0
200,eeew_simp,1,0.34157474324838344
200,eeew_simp,1,0.10216652506372133
200,eeew_simp,1,0.165
200,eeew_simp,1,0.1533980582524272
200,eeew_simp,1,0.2189870320528505
200,eeew_simp,1,0.21315313397892943
200,eeew_simp,1,0.22030355357629738
200,eeew_simp,1,0.17720415104212087
200,eeew_simp,1,0.24179669030732862
200,eeew_simp,1,0.23078579117330464
200,eeew_simp,1,0.12448802283728434
200,eeew_simp,1,0.26672077922077925
200,eeew_simp,1,0.11702812969722998
200,eeew_simp,1,0.33447390932420873
200,eeew_simp,1,0.2728978978978979
200,eeew_simp,1,0.08054298642533937
200,eeew_simp,1,0.1032008830022075
200,eeew_simp,1,0.3413953488372093
200,eeew_simp,1,0.16238159675236807
200,eeew_simp,1,0.2785829307568438
200,eeew_simp,1,0
200,eeew_simp,1,0
200,eeew_simp,1,0
200,eeew_simp,1,0
200,eeew_simp,1,0
